# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.09%  DartWorker       benchmark.exe       [.] 0x0000000000532b56
     0.09%  DartWorker       [kernel.vmlinux]    [k] __do_sys_io_uring_enter
     0.09%  DartWorker       [kernel.vmlinux]    [k] __futex_unqueue
     0.09%  DartWorker       [kernel.vmlinux]    [k] do_futex
     0.09%  DartWorker       [kernel.vmlinux]    [k] __rcu_read_unlock
     0.09%  DartWorker       benchmark.exe       [.] 0x000000000054b9fe
     0.09%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_lock_bh
     0.09%  DartWorker       [kernel.vmlinux]    [k] io_issue_sqe
     0.08%  DartWorker       [kernel.vmlinux]    [k] __get_user_nocheck_4
     0.08%  DartWorker       libtransport.so     [.] mslab_tree_insert
     0.08%  DartWorker       [kernel.vmlinux]    [k] __dev_queue_xmit
     0.08%  DartWorker       [kernel.vmlinux]    [k] __sk_mem_reduce_allocated
     0.08%  DartWorker       [kernel.vmlinux]    [k] ip_rcv_finish_core.constprop.0
     0.08%  DartWorker       benchmark.exe       [.] 0x000000000030ba9d
     0.08%  DartWorker       [kernel.vmlinux]    [k] __kmem_cache_alloc_node
     0.08%  DartWorker       [kernel.vmlinux]    [k] nf_hook_slow
     0.08%  DartWorker       [kernel.vmlinux]    [k] kmem_cache_alloc_node
     0.08%  DartWorker       [nf_conntrack]      [k] nf_conntrack_in
     0.08%  DartWorker       libtransport.so     [.] cord_on_yield@plt
     0.08%  DartWorker       libtransport.so     [.] transport_channel_free_read_payload
     0.08%  DartWorker       [kernel.vmlinux]    [k] native_queued_spin_lock_slowpath
     0.08%  DartWorker       libtransport.so     [.] fiber_sleep@plt
     0.08%  DartWorker       [kernel.vmlinux]    [k] __io_submit_flush_completions
     0.08%  DartWorker       [kernel.vmlinux]    [k] __virt_addr_valid
     0.08%  DartWorker       benchmark.exe       [.] 0x00000000003476fd
     0.07%  DartWorker       [kernel.vmlinux]    [k] __x86_indirect_thunk_array
     0.07%  DartWorker       [kernel.vmlinux]    [k] apparmor_file_permission
     0.07%  DartWorker       [kernel.vmlinux]    [k] get_timespec64
     0.07%  DartWorker       benchmark.exe       [.] 0x000000000039edb1
     0.07%  DartWorker       libtransport.so     [.] ev_timer_start@plt
     0.07%  DartWorker       [nf_defrag_ipv4]    [k] ipv4_conntrack_defrag
     0.07%  DartWorker       benchmark.exe       [.] 0x00000000003e9bce
     0.07%  DartWorker       libtransport.so     [.] fiber_channel_get_msg_timeout
     0.07%  DartWorker       libtransport.so     [.] fiber_yield@plt
     0.07%  DartWorker       libtransport.so     [.] mslab_tree_remove
     0.07%  DartWorker       [kernel.vmlinux]    [k] __netif_receive_skb_core
     0.07%  DartWorker       [kernel.vmlinux]    [k] sock_def_readable
     0.07%  DartWorker       benchmark.exe       [.] Dart_RegisterIsolateServiceRequestCallback
     0.07%  DartWorker       libtransport.so     [.] cord_on_yield
     0.07%  DartWorker       [kernel.vmlinux]    [k] __hrtimer_init
     0.07%  DartWorker       [kernel.vmlinux]    [k] __siphash_unaligned
     0.07%  DartWorker       [kernel.vmlinux]    [k] tcp_skb_entail
     0.07%  DartWorker       benchmark.exe       [.] 0x000000000057e69a
     0.07%  DartWorker       benchmark.exe       [.] 0x00000000005995e0
     0.07%  DartWorker       [kernel.vmlinux]    [k] __skb_datagram_iter
     0.07%  DartWorker       benchmark.exe       [.] 0x000000000030c2d8
     0.07%  DartWorker       benchmark.exe       [.] 0x00000000005838a0
     0.07%  DartWorker       libtransport.so     [.] cord_is_main@plt
     0.07%  DartWorker       [nf_conntrack]      [k] ipv4_confirm
     0.06%  DartWorker       [kernel.vmlinux]    [k] schedule
     0.06%  DartWorker       benchmark.exe       [.] 0x000000000053251e
     0.06%  DartWorker       benchmark.exe       [.] 0x000000000054666c
     0.06%  DartWorker       benchmark.exe       [.] 0x000000000058286a
     0.06%  DartWorker       libc-2.31.so        [.] __vfscanf_internal
     0.06%  DartWorker       libtransport.so     [.] ev_timer_stop@plt
     0.06%  DartWorker       [kernel.vmlinux]    [k] __ip_queue_xmit
     0.06%  DartWorker       [kernel.vmlinux]    [k] loopback_xmit
     0.06%  DartWorker       [kernel.vmlinux]    [k] tcp_wfree
     0.06%  DartWorker       [nf_nat]            [k] nf_nat_ipv4_local_fn
     0.06%  DartWorker       benchmark.exe       [.] 0x000000000054b9fa
     0.06%  DartWorker       [kernel.vmlinux]    [k] __rcu_read_lock
     0.06%  DartWorker       [kernel.vmlinux]    [k] preempt_count_sub
     0.06%  DartWorker       [kernel.vmlinux]    [k] tcp_write_xmit
     0.06%  DartWorker       libtransport.so     [.] mempool_alloc
