# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
     0.02%  DartWorker       benchmark.exe       [.] 0x000000000057e7fc
     0.02%  DartWorker       libpthread-2.31.so  [.] __pthread_mutex_cond_lock
     0.01%  DartWorker       [kernel.vmlinux]    [k] __io_import_iovec
     0.01%  DartWorker       [kernel.vmlinux]    [k] apparmor_socket_sock_rcv_skb
     0.01%  DartWorker       [kernel.vmlinux]    [k] fsnotify_perm.part.0
     0.01%  DartWorker       [kernel.vmlinux]    [k] io_req_io_end
     0.01%  DartWorker       [kernel.vmlinux]    [k] kiocb_done
     0.01%  DartWorker       [kernel.vmlinux]    [k] ktime_add_safe
     0.01%  DartWorker       [kernel.vmlinux]    [k] sk_forced_mem_schedule
     0.01%  DartWorker       [kernel.vmlinux]    [k] sk_free
     0.01%  DartWorker       [nf_nat]            [k] nf_nat_ipv4_local_in
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba56
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030baa0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c290
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000031ceb0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033493c
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000334982
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e7e1
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003404da
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034053a
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003420d1
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034212b
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034788f
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b980
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee8b0
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000532b5b
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057d244
     0.01%  DartWorker       libtransport.so     [.] free@plt
     0.01%  DartWorker       [kernel.vmlinux]    [k] __copy_skb_header
     0.01%  DartWorker       [kernel.vmlinux]    [k] ip_rcv
     0.01%  DartWorker       [kernel.vmlinux]    [k] netif_skb_features
     0.01%  DartWorker       [kernel.vmlinux]    [k] rb_insert_color
     0.01%  DartWorker       [kernel.vmlinux]    [k] security_sock_rcv_skb
     0.01%  DartWorker       [kernel.vmlinux]    [k] should_failslab
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_parse_md5sig_option
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_rate_skb_sent
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_rearm_rto
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_update_skb_after_send
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c36a
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000032297e
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003348e0
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000337040
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000337101
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034d780
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039e405
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039ed44
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039ed4c
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039edbc
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e9b90
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e9bd6
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee8df
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee949
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057e800
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057eae2
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000597f88
     0.01%  DartWorker       libpthread-2.31.so  [.] __pthread_setspecific
     0.01%  DartWorker       libtransport.so     [.] ev_monotonic_now
     0.01%  DartWorker       [kernel.vmlinux]    [k] __list_add_valid
     0.01%  DartWorker       [kernel.vmlinux]    [k] __this_cpu_preempt_check
     0.01%  DartWorker       [kernel.vmlinux]    [k] exit_to_user_mode_prepare
     0.01%  DartWorker       [kernel.vmlinux]    [k] io_rw_init_file
     0.01%  DartWorker       [kernel.vmlinux]    [k] ip_output
     0.01%  DartWorker       [kernel.vmlinux]    [k] mem_cgroup_uncharge_skmem
     0.01%  DartWorker       [kernel.vmlinux]    [k] nf_conntrack_put
     0.01%  DartWorker       [kernel.vmlinux]    [k] rb_first
     0.01%  DartWorker       [kernel.vmlinux]    [k] skb_clone
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_ack_update_rtt
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_chrono_start
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_poll
     0.01%  DartWorker       [kernel.vmlinux]    [k] try_to_wake_up
     0.01%  DartWorker       benchmark.exe       [.] _ZN8tcmalloc15CentralFreeList11RemoveRangeEPPvS2_i
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba51
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba84
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c360
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e7e6
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b517
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034d3f0
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000351086
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039fe6c
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d61c5
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee905
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee910
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee913
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000546682
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057d8ee
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057e5e0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057e5fa
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057e67f
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057ec2f
     0.01%  DartWorker       libtransport.so     [.] mslab_tree_next@plt
     0.01%  DartWorker       [kernel.vmlinux]    [k] __futex_queue
     0.01%  DartWorker       [kernel.vmlinux]    [k] __netif_receive_skb_one_core
     0.01%  DartWorker       [kernel.vmlinux]    [k] bpf_skops_write_hdr_opt.isra.0
     0.01%  DartWorker       [kernel.vmlinux]    [k] cache_from_obj
     0.01%  DartWorker       [kernel.vmlinux]    [k] kmalloc_slab
     0.01%  DartWorker       [kernel.vmlinux]    [k] rw_verify_area
     0.01%  DartWorker       [kernel.vmlinux]    [k] skb_attempt_defer_free
     0.01%  DartWorker       benchmark.exe       [.] _ZN8tcmalloc11ThreadCache21FetchFromCentralCacheEjiPFPvmE
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba8f
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c291
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000031213e
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000031cf03
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000331c11
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003349b1
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000336945
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e7eb
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e7f6
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034077f
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034566e
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000348927
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b498
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b9d4
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034c2c1
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034c822
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003573b0
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000361b20
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039ed45
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d422b
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003dd320
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee8c0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee925
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054ba59
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057e984
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000005846fb
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000597bec
     0.01%  DartWorker       [kernel.vmlinux]    [k] __usecs_to_jiffies
     0.01%  DartWorker       [kernel.vmlinux]    [k] aa_file_perm
     0.01%  DartWorker       [kernel.vmlinux]    [k] futex_setup_timer
     0.01%  DartWorker       [kernel.vmlinux]    [k] hrtimer_init_sleeper
     0.01%  DartWorker       [kernel.vmlinux]    [k] hrtimer_sleeper_start_expires
     0.01%  DartWorker       [kernel.vmlinux]    [k] inet_sendmsg
     0.01%  DartWorker       [kernel.vmlinux]    [k] io_file_get_normal
     0.01%  DartWorker       [kernel.vmlinux]    [k] skb_csum_hwoffload_help
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_mstamp_refresh
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_rack_update_reo_wnd
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_tso_segs
     0.01%  DartWorker       [nf_conntrack]      [k] get_l4proto
     0.01%  DartWorker       [nf_conntrack]      [k] hash_conntrack_raw
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000001eac01
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba50
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba6b
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c2b7
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000322982
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003229de
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000334935
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000334a64
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003368a6
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003406e9
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003422c6
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000342499
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000343950
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003473f0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a875
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b620
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b7e3
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034ba6b
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034ef22
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003510a4
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000357420
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039dc33
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039eda1
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039fe88
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039fe92
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d4400
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d61d6
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d9604
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee900
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000005325fa
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000532bc4
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000053c21a
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054099b
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000577760
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057d816
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057eda2
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000005828a1
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000597ab5
     0.01%  DartWorker       [kernel.vmlinux]    [k] __ip_finish_output
     0.01%  DartWorker       [kernel.vmlinux]    [k] __ip_local_out
     0.01%  DartWorker       [kernel.vmlinux]    [k] __netif_receive_skb
     0.01%  DartWorker       [kernel.vmlinux]    [k] __tcp_cleanup_rbuf
     0.01%  DartWorker       [kernel.vmlinux]    [k] _copy_to_iter
     0.01%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_unlock
     0.01%  DartWorker       [kernel.vmlinux]    [k] inet_recvmsg
     0.01%  DartWorker       [kernel.vmlinux]    [k] io_async_queue_proc
     0.01%  DartWorker       [kernel.vmlinux]    [k] ip_local_deliver_finish
     0.01%  DartWorker       [kernel.vmlinux]    [k] rb_next
     0.01%  DartWorker       [kernel.vmlinux]    [k] skb_push
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_rate_skb_delivered
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_rbtree_insert
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_send_mss
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_stream_alloc_skb
     0.01%  DartWorker       [nf_conntrack]      [k] nf_confirm
     0.01%  DartWorker       benchmark.exe       [.] _ZN8tcmalloc15CentralFreeList14MakeCacheSpaceEv
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000001d5820
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ae40
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ae41
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba54
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba5a
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003229ef
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000334986
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000334b05
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e83f
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e84b
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003424a3
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003476d1
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003488d0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b984
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034c8ee
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034d790
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000351080
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000361c70
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d4290
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d47e3
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d61ab
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d61d3
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d95f0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d9e8e
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e71f3
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e73c0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e73d0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e9b8a
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee917
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee91e
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000004956b0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000005325c6
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000053281c
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000532b1e
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000053c1b0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000053c1e6
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000053c1fa
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000546704
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054b9e0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054b9e1
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054ba0c
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054ba4e
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054baaf
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054bae4
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000059791c
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000597b80
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000005995c3
     0.01%  DartWorker       libtransport.so     [.] fiber_channel_has_writers
     0.01%  DartWorker       libtransport.so     [.] mslab_tree_remove@plt
     0.01%  DartWorker       libtransport.so     [.] transport_channel_free_write_payload
     0.01%  DartWorker       [kernel.vmlinux]    [k] __alloc_pages
     0.01%  DartWorker       [kernel.vmlinux]    [k] __napi_poll
     0.01%  DartWorker       [kernel.vmlinux]    [k] __x86_indirect_thunk_r12
     0.01%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_unlock_bh
     0.01%  DartWorker       [kernel.vmlinux]    [k] check_stack_object
     0.01%  DartWorker       [kernel.vmlinux]    [k] debug_smp_processor_id
     0.01%  DartWorker       [kernel.vmlinux]    [k] enqueue_to_backlog
     0.01%  DartWorker       [kernel.vmlinux]    [k] handle_tw_list
     0.01%  DartWorker       [kernel.vmlinux]    [k] io_cqring_overflow_flush
     0.01%  DartWorker       [kernel.vmlinux]    [k] ip_local_deliver
     0.01%  DartWorker       [kernel.vmlinux]    [k] ktime_get_seconds
     0.01%  DartWorker       [kernel.vmlinux]    [k] lock_sock_nested
     0.01%  DartWorker       [kernel.vmlinux]    [k] netdev_core_pick_tx
     0.01%  DartWorker       [kernel.vmlinux]    [k] simple_copy_to_iter
     0.01%  DartWorker       [kernel.vmlinux]    [k] smp_call_function_many_cond
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_ack_tstamp
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_chrono_stop
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_rate_gen
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_small_queue_check.isra.0
     0.01%  DartWorker       [kernel.vmlinux]    [k] tcp_v4_do_rcv
     0.01%  DartWorker       [kernel.vmlinux]    [k] tctx_task_work
     0.01%  DartWorker       [nf_conntrack]      [k] nf_ct_seq_offset
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000001e97e0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ae54
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba57
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030ba77
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c294
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c2a0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000030c364
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000312d30
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000312d41
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000312dba
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000322a65
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003349ad
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000334a09
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003368b9
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033695c
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000033e84a
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003405d6
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034222b
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000342268
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003422c2
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003424c0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003458d1
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034741f
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000347887
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003490a8
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000349fa0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a766
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a792
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a834
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a85e
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a863
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034a876
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034ab05
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034ab19
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b4a3
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b4bf
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b890
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b8be
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b8e0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b8ef
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034b96d
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034c2c0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034d784
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034d7a7
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034ee10
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000034ef34
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000351081
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000351089
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000361b39
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039eda0
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039eef8
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000039fe17
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d4375
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d47c0
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d9267
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003d9e80
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e9b10
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003e9c61
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee929
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee92f
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee953
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003ee957
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003eeb18
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003eeb2c
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000003eeb53
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000532519
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000546758
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054ba22
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054ba46
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054ba99
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000054bb61
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000577fb4
     0.01%  DartWorker       benchmark.exe       [.] 0x00000000005786c5
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057d8d8
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057e99e
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057ea3d
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000057eb4b
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000058286b
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000059792c
     0.01%  DartWorker       benchmark.exe       [.] 0x0000000000597e7a
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000059961c
     0.01%  DartWorker       benchmark.exe       [.] 0x000000000059986e
     0.01%  DartWorker       libpthread-2.31.so  [.] __pthread_mutex_init
     0.01%  DartWorker       libtransport.so     [.] ev_idle_stop@plt
     0.01%  DartWorker       libtransport.so     [.] fiber_channel_put_timeout
     0.01%  DartWorker       libtransport.so     [.] fiber_wakeup@plt
     0.01%  DartWorker       libtransport.so     [.] ipc_value_new
     0.01%  DartWorker       libtransport.so     [.] mslab_tree_insert@plt
     0.01%  benchmark.exe    [kernel.vmlinux]    [k] clear_page_orig
     0.00%  DartWorker       [kernel.vmlinux]    [k] __build_skb_around
     0.00%  DartWorker       [kernel.vmlinux]    [k] __cond_resched
     0.00%  DartWorker       [kernel.vmlinux]    [k] __tcp_ack_snd_check
     0.00%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_lock_irq
     0.00%  DartWorker       [kernel.vmlinux]    [k] arch_do_signal_or_restart
     0.00%  DartWorker       [kernel.vmlinux]    [k] do_user_addr_fault
     0.00%  DartWorker       [kernel.vmlinux]    [k] io_arm_poll_handler
     0.00%  DartWorker       [kernel.vmlinux]    [k] io_run_task_work_sig
     0.00%  DartWorker       [kernel.vmlinux]    [k] kfree
     0.00%  DartWorker       [kernel.vmlinux]    [k] sock_poll
     0.00%  DartWorker       [kernel.vmlinux]    [k] sock_put
     0.00%  DartWorker       [kernel.vmlinux]    [k] sock_recvmsg
     0.00%  DartWorker       [kernel.vmlinux]    [k] task_work_run
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_data_ready
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_inbound_md5_hash
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_rate_check_app_limited
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_schedule_loss_probe
     0.00%  DartWorker       [kernel.vmlinux]    [k] tcp_update_recv_tstamps
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ae51
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030b910
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ba7c
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030ba92
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c298
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c369
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c430
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030c441
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030e951
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030e95e
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000030e970
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000312131
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003229d0
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000329d53
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000336860
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003368aa
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003368e3
     0.00%  DartWorker       benchmark.exe       [.] 0x00000000003368fa
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000336912
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033698a
     0.00%  DartWorker       benchmark.exe       [.] 0x0000000000337108
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e837
     0.00%  DartWorker       benchmark.exe       [.] 0x000000000033e843
